,model,name,name2,name2,ideal,dn,n,text,em
25,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/neutral_disgust_17/17_neutral_disgust_d_092.wav,../шумоподавление/DTLN_output/DTLN_17_neutral_disgust_d_092.wav,../шумоподавление/Noisereduce_output/Noisereduce_17_neutral_disgust_d_092.wav,все ваши деклавные акции пожалуйста больше не партямне мозги и слезти с моих ушеи хорошо,симарштиглавные акции пожалуйс та пучне партиле повгиб в свезти с моих ушей хорошо,всила шты главный акции пожалуйта кошки партне моглил и связи смоих уши хорошо,"все ваши рекламные акции, пожалуйста, больше не парьте мне мозги и слезьте с моих ушей, хорошо?",disgust
26,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_happiness_49/49_sadness_happiness_s_080.wav,../шумоподавление/DTLN_output/DTLN_49_sadness_happiness_s_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_49_sadness_happiness_s_080.wav,ай мне видру пожалуйста ну дай и тея прошу как человека прошу служалуста,предет очетилсетальсярезинатовси обязательдетелдостинто докткеныхыретыхахсбисуканит,укеа на говове окто уветникоенероклюкс позавки,"Дай мне ведро, пожалуйста, ну дай! Я тебя прошу, как человека прошу! Слушай... Берите оператору в чёрное что ли determination в помощь!",sadness
27,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_enthusiasm_31/31_fear_enthusiasm_e_080.wav,../шумоподавление/DTLN_output/DTLN_31_fear_enthusiasm_e_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_31_fear_enthusiasm_e_080.wav,мам не переживай все в порядке следующий раз мя куплюного телефон буду постоянно с тобой созваниваться и ты перестанешь перезревать,мам не переживай все в порядке следующий раз мя куплюного телефон буду постоянно с тобой созваниваться и ты перестанешь перезрывать,мам не переживай все в порядке следующий раз я куплюного телефон буду постояннос с тобой созваниваться и ты перестанешь презжевать,"Мам, не переживай, всё в порядке. В следующий раз я куплю новый телефон, буду постоянно с тобой созваниваться, и ты перестанешь переживать.",enthusiasm
28,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/neutral_fear_27/27_neutral_fear_n_040.wav,../шумоподавление/DTLN_output/DTLN_27_neutral_fear_n_040.wav,../шумоподавление/Noisereduce_output/Noisereduce_27_neutral_fear_n_040.wav,да я знаю и вот  когда чек работает долго и хорошо ему как выдумате что нужно,да я знаю и вот  когда чеко работает долго и хорошо ему как выдумате что нужно,да я знаю и вот  когда чек работает долго и хорошо ему как выдумить что нужно,"Да, я знаю. И вот когда человек работает долго и хорошо, ему, как вы думаете, что нужно?",neutral
29,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_46/46_sadness_disgust_d_041.wav,../шумоподавление/DTLN_output/DTLN_46_sadness_disgust_d_041.wav,../шумоподавление/Noisereduce_output/Noisereduce_46_sadness_disgust_d_041.wav,и вы считаете что она может средить за порядком у нас в домену ладно за порядком в доме ну она улиц пройдите по улицы вто это такой везде устр возле урн мини маур,я вы считаете что на ожет сребить запорядка минозом двомеи лиятны запорядкам доме ил оно улиц пройди тяпол и лиц стоится такой здепный минустр уелвелил мурен имо,и ва считаете что на может следить за порядкам у нас в донену надно за порядком доме е водно луницы пройдись полный ниц чтроит такой виздебминустр возлин немол,"И вы считаете, что она может следить за порядком у нас в доме? Ну, ладно, за порядком в доме, ну а на улице, пройдите по улице, что это такое? Везде мусор, возле урн, мимо урн.",disgust
30,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_disgust_48/48_fear_disgust_f_090.wav,../шумоподавление/DTLN_output/DTLN_48_fear_disgust_f_090.wav,../шумоподавление/Noisereduce_output/Noisereduce_48_fear_disgust_f_090.wav,я страшне ничего не смотрела,я страшнее личи воль ны слог ела,ля страшне ничеголь не срубкела,Я страшнее ничего не смотрела,fear
31,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/disgust_enthusiasm_20/20_disgust_enthusiasm_d_110.wav,../шумоподавление/DTLN_output/DTLN_20_disgust_enthusiasm_d_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_20_disgust_enthusiasm_d_110.wav,хты заразомолодая не знаешь с кем свизалась,хты зовира замолодая не знаешь с кем свизалась,то жавер замолодая не знаешь с кем свизалась,"Ух ты, зараза молодая, не знаешь, с кем связалась?",disgust
32,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_fear_29/29_happiness_fear_h_130.wav,../шумоподавление/DTLN_output/DTLN_29_happiness_fear_h_130.wav,../шумоподавление/Noisereduce_output/Noisereduce_29_happiness_fear_h_130.wav,хорошо я запису у значит,хорошо я записывую значит,хорошо я записыву значит,"Хорошо, я записываю, значит...",happiness
33,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/disgust_happiness_36/36_disgust_happiness_h_100.wav,../шумоподавление/DTLN_output/DTLN_36_disgust_happiness_h_100.wav,../шумоподавление/Noisereduce_output/Noisereduce_36_disgust_happiness_h_100.wav,а мне друг мой сказал что воджигайфу,а мне друг мой сказал что под усегать хво,а мне друг мой сказал что поджигай ху,"А мне друг мой сказал, что вообще кайфово.",happiness
34,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_sadness_45/45_happiness_sadness_h_110.wav,../шумоподавление/DTLN_output/DTLN_45_happiness_sadness_h_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_45_happiness_sadness_h_110.wav,туть доварязло весте могущи занять принципе,ла входить латкеть от сутан,даваредь опеть сезанятье,"Давай, я тебе могу ещё и занять, в принципе.",happiness
35,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/01_happiness_anger/01_happiness_anger h_020.wav,../шумоподавление/DTLN_output/DTLN_01_happiness_anger h_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_01_happiness_anger h_020.wav,зу то поснори как то оделась какие на тебе туфли оне тебе так идуты сделал при ческу накрасьво исходила на моникиур,эсо косно рий кактиотдиность каки на тебе тукля не тебе так и дута сделал приче ском накрасево исходила мникий лоль,оза посыри конпенти вескоки на тебе тука не тьбе так и дут сдела ключео скомнакрасево исходила мни киорь,"Зато посмотри, как ты оделась, какие на тебе туфли, они тебе так идут! Ты сделала прическу, накрасилась, сходила на маникюр...",happiness
36,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/enthusiasm_neutral_43/43_enthusiasm_neutral_e_010.wav,../шумоподавление/DTLN_output/DTLN_43_enthusiasm_neutral_e_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_43_enthusiasm_neutral_e_010.wav,здравствуйте я вот по объявлению я вам взвонилам,здравствуйте явы по объявлению я вамзвонимали,здравствуйте я ву по бивлении яразвони вам,"Здравствуйте, я вот по объявлению вам звонила.",enthusiasm
37,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_anger_21/21_happiness_anger_h_130.wav,../шумоподавление/DTLN_output/DTLN_21_happiness_anger_h_130.wav,../шумоподавление/Noisereduce_output/Noisereduce_21_happiness_anger_h_130.wav,эс калопы свинены кофья бес сахора и террамиссу правильно,эстолопыт звень лыныл эни пофебе сахата и террамиссу правильно,я с талу бы с сметдлемы лиофибе сахара и тюррамиссуправе,"Эскалоп из свинины, кофе без сахара и тирамису. Правильно?",happiness
38,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_anger_22/22_fear_anger_f_060.wav,../шумоподавление/DTLN_output/DTLN_22_fear_anger_f_060.wav,../шумоподавление/Noisereduce_output/Noisereduce_22_fear_anger_f_060.wav,да вдруг что то случится в рером регионета,да вдруг что то случится вревений бионена,да вдруг что то случится в лерон регионе саш,"Да, вдруг что-то случится в дороге! Да ничего не случится!",fear
39,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/09_neutral_happiness/09_neutral_happiness n_010.wav,../шумоподавление/DTLN_output/DTLN_09_neutral_happiness n_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_09_neutral_happiness n_010.wav,кирилва генерович  добрыдеь,ерюги бникогда чита любрюди,кирилга дмеглиц ряду брюдви,"Кирилл Владимирович, добрый день.",neutral
40,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/03_disgust_neutral/03_disgust_neutral d_052.wav,../шумоподавление/DTLN_output/DTLN_03_disgust_neutral d_052.wav,../шумоподавление/Noisereduce_output/Noisereduce_03_disgust_neutral d_052.wav,но вы как директор школы должны прямобут быть заинтересованы в каждом начиннике а у вас получается что чутьли моего сына сейчас не выгнать готовы,ему вы пардили ктордолжный прембор представитель сердны карторича оба окомчатся спытприцепли моего сына сейчас не выгнать готовы,его вы картели гташепленни должбы рембунких заинтересованных кардович а убас подбешась что точутли моего сына сейчас не выгнаьготовы,"Но вы, как директор школы, должны прям вот быть заинтересованы в каждом ученике. А у вас получается, что чуть ли моего сына сейчас не выгнать готовы?",disgust
41,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_disgust_48/48_fear_disgust_d_050.wav,../шумоподавление/DTLN_output/DTLN_48_fear_disgust_d_050.wav,../шумоподавление/Noisereduce_output/Noisereduce_48_fear_disgust_d_050.wav,а игроок тиоров посмотри да там вообще ну не где климаставе том вообще какие то дапонабирали просто студентов первокурсников,айгерктиоров посмотри да там вообще ну не кде климатставить то вообще какие то дапонабирали просто студентов первокурсников,айгера ох тиорог посмотри да там вообще ну мек диклимастаи то вообще такито дак понабирали просто студента первокустников,"А игра актёров, посмотри. Да там вообще, ну негде клейма ставить. Там вообще какие-то понабирали просто студентов первокурсников. Вот это да.",disgust
42,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_enthusiasm_24/24_sadness_enthusiasm_e_040.wav,../шумоподавление/DTLN_output/DTLN_24_sadness_enthusiasm_e_040.wav,../шумоподавление/Noisereduce_output/Noisereduce_24_sadness_enthusiasm_e_040.wav,ничего себе вусемьдесят шесть ятак и представит нем вну тридцать жаракок шпарит а тут восемьдесятши,обчего себе вутемь десят шестних веятк и представит нем вон тридцать жарако в паре на тут усемьдисекцев,молчего сень восемьедесят шесть деяток и представит нован тринцат жеаратов  шкарй а туткучийдесятшу,"Ничего себе! 86! Я так и представить не могу! Он 30 жара как шпарит, а тут 86!",enthusiasm
43,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/enthusiasm_sadness_50/50_enthusiasm_sadness_e_070.wav,../шумоподавление/DTLN_output/DTLN_50_enthusiasm_sadness_e_070.wav,../шумоподавление/Noisereduce_output/Noisereduce_50_enthusiasm_sadness_e_070.wav,но он там листает обычно да когда вскосработаньками разговаривает,ну давле стаето бычно та как тамс эсмы разговариваем,но там лестает обычноя дак и видобымы симат с врабод вныим разговорими,"Ну он там листает обычно, да, когда с работниками разговаривает.",enthusiasm
44,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_happiness_30/30_fear_happiness_h_010.wav,../шумоподавление/DTLN_output/DTLN_30_fear_happiness_h_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_30_fear_happiness_h_010.wav,в валевии в л одинерывиче добре дей можно к вам,плалери в потмерывче до брудей можно квам,по леми плотнерыче друзи божот гван,"Валерий Владимирович, добрый день! Можно к вам?",happiness
45,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/disgust_enthusiasm_28/28_disgust_enthusiasm_d_080.wav,../шумоподавление/DTLN_output/DTLN_28_disgust_enthusiasm_d_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_28_disgust_enthusiasm_d_080.wav,но дрого осперва вам надо заколоть волосы а еще лучше о деть  какой нибудь голавною убор иначе сяваз может снять скарьп этой самой фризой,мдолго оспырвало мнадо зачаготь гоу осверь а рячувечвы отвеч о японилюшдувовненуе геово ина чеслвацмежут сметь всяпать оке самой фазизории,мдолго оскырвалом надор заклодь волоси а ресшуды что ответ страть поньбуеде лавную иголы значать спас бнух смертцпать токим страну,"Но, дорогая, сперва вам надо заколоть волосы, а ещё лучше одеть какой-нибудь головной убор, иначе вас может снять скальп этой самой фрезой.",disgust
46,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_enthusiasm_24/24_sadness_enthusiasm_s_050.wav,../шумоподавление/DTLN_output/DTLN_24_sadness_enthusiasm_s_050.wav,../шумоподавление/Noisereduce_output/Noisereduce_24_sadness_enthusiasm_s_050.wav,вельниче березалы,верьните  березов,вельниче его березо,Винники Березовый,sadness
47,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_12/12_sadness_disgust_s_020.wav,../шумоподавление/DTLN_output/DTLN_12_sadness_disgust_s_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_12_sadness_disgust_s_020.wav,я мама володи из девятово бы вот заглядывая в ненни к своему сыну и вижу двойку по английскому скажите пожалуйста в чем дело,я мама болоде издевятово бы от заглядывая в ненни г своему сыну и вижуд войку по английскому скажите пожалуйста в тем дело,я момо болут из девято вопы вот заглядывая вненни к своему сыну и вежет войку па английском скажите пожалуйствуй в чем дело,"Я мама Володи из 9-го Б. Вот заглядываю в дневник своему сыну и вижу двойку по-английскому. Скажите, пожалуйста, в чем дело?",sadness
48,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_enthusiasm_31/31_fear_enthusiasm_e_050.wav,../шумоподавление/DTLN_output/DTLN_31_fear_enthusiasm_e_050.wav,../шумоподавление/Noisereduce_output/Noisereduce_31_fear_enthusiasm_e_050.wav,мам ты стильно прив преувеличиваешь,мам ты стеньно прив преувеличиваешь,мам ты стельно при преувеличиваешь,"Мам, ты сильно преувеличиваешь.",enthusiasm
