,No,name,text_true,text_recognize,emo_true,met
28,41,../dataset/RESD_csv/test/neutral_enthusiasm_13/13_neutral_enthusiasm_e_052.wav,"роуминг бесплатный или что-либо подобное. Вот я иногда выезжаю, кого я не познакомил, можно мнесто хорошо начаться с бумажным снаряжением.", Роминк  Лисплатный или что ли бы  что-либо подумано. Я    иногда выезжаю.,enthusiasm,0.5
29,42,../dataset/RESD_csv/test/fear_enthusiasm_31/31_fear_enthusiasm_e_060.wav,"Мама, слушай, я уже взрослая девочка, всё нормально. Лучше бы ты спросила, чем я занималась и так далее."," Мама, слушай, я уже   Взрослый девочек. Все нормально.  лучше бы ты  спросила, чем я  Занимала, что ты",enthusiasm,0.3888888888888889
30,43,../dataset/RESD_csv/test/09_neutral_happiness/09_neutral_happiness n_080.wav,"Конечно, мы вот этими шкафчиками спрятали весь функционал, то есть вы никогда не увидите, где находятся ваши трубы, трубопровод, где находятся газовые трубы. Но для того, чтобы это не портило интерьер, всё спрятано."," Конечно, мы его в дзетях шишка в теком, вместе приотали в  весь  функционал, то  есть у иди, когда-нибудь людей  уйдя находится  Ваше  газовую трубу, ну для   того чтобы это не  портил интерьер. Все  спрятано.",neutral,0.9393939393939394
31,44,../dataset/RESD_csv/test/03_disgust_neutral/03_disgust_neutral d_100.wav,"Ну правильно, но родители не обязаны вообще-то собирать деньги на ваши стекла, может быть, на ваши машины еще собрать деньги."," Ну правильно, но  Родители не  обязаны, вообще,    может быть на вашей машины еще  собрать.",disgust,0.45
32,45,../dataset/RESD_csv/test/neutral_fear_27/27_neutral_fear_f_090.wav,"Подождите, вы же знаете, какие пенсии в нашей стране. Мне же будет просто не на что жить."," Подождите, вы же  знаете  Какие пенсии в  нашей стране. Мне же  будет  Просто не наш ты  Жить.",fear,0.35294117647058826
33,46,../dataset/RESD_csv/test/happiness_enthusiasm_32/32_happiness_enthusiasm_h_110.wav,"Да! Я сейчас всем только позвоню, хорошо? Ты подождёшь меня?", Я  Сейчас всем только позвоню хорошо. Ты  подождишь  меня?,happiness,0.9
34,56,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_a_080.wav,Ну вот так решайте эту проблему!," Ну вот, а крышайте эту  Проблема.",anger,0.6666666666666666
35,59,../dataset/RESD_csv/test/05_neutral_fear/05_neutral_fear f_052.wav,"И чё-то так темно и холодно, и прям совсем мне как-то некомфортно."," И что-то так теми новые   холодной,  Прям совсем не  как-то некомфортно.",fear,0.75
36,60,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger h_100.wav,"Ну тогда новые купим, а эти выкинем прямо в того официанта.", Но тогда новая копия на эти ввыки не от  прям втовой  офицанта.,happiness,0.8181818181818182
37,61,../dataset/RESD_csv/test/07_fear_neutral/07_fear_neutral f_050.wav,Может быть вам помочь?,,fear,0.0
38,62,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_h_020.wav,"Да это твои проиграли, а мы выиграли, я даже на них поставила"," Это твои про играли, вот я  даже не  спустай, Волна.",happiness,0.8333333333333334
39,63,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger h_010.wav,"Дорогая, посмотри, как здесь красиво! Только ты и я проведем этот вечер в ресторане."," Дорога, посмотрите, как  здесь красиво. Только ты и я,  проведем вот эту   вечеру в  ресторане.",happiness,0.5714285714285714
40,64,../dataset/RESD_csv/test/11_disgust_anger/11_anger_disgust a_030.wav,"Ну, не знаю, куда вам удобнее, где вы находитесь. Я приеду, посмотрю велосипед, возможно куплю."," Ну, не знаю, куда вам  удобнее, где вы находитеся, я   приятно посмотреть, лосипят, возможно  куплю.",anger,0.3333333333333333
41,66,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_e_050.wav,А сколько это будет длиться?,,enthusiasm,0.0
42,67,../dataset/RESD_csv/test/sadness_disgust_46/46_sadness_disgust_d_020.wav,Ну а кто за ними должен смотреть? Ну что это такое? У нас же есть государство в конце концов!," Но кто за ними должен смотреть, но что это   такое? Но   жизнь государства в конце  концу.",disgust,0.8421052631578947
43,68,../dataset/RESD_csv/test/fear_happiness_30/30_fear_happiness_h_100.wav,Конечно!,,happiness,0.0
44,69,../dataset/RESD_csv/test/sadness_disgust_33/33_sadness_disgust_d_050.wav,"У меня из-за этого с выпускного нет никаких фотографий. Мне платье из-за границы сестра привезла, а ты меня"," У меня из этого с  выпускного нет  никаких фотографий, мне  платят и заграницы  сестра  привезла. А ты   меня",disgust,0.4444444444444444
45,70,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_n_120.wav,"К обучению вы можете приступить с понедельника с 8 часов утра. Нужно прийти за 15 минут до начала смены, и мы будем вас обучать этой профессии, если вы готовы на наши все условия."," Кобучение вы  можете приступить с понедельника с 8 часов    утра  нужно прийти за 15   минут до начала  смены и   Будем вас обучать это  профессии.  Если вы готовы, наше все   условия.",neutral,0.9090909090909091
46,71,../dataset/RESD_csv/test/disgust_enthusiasm_20/20_disgust_enthusiasm_d_040.wav,"Да мало ли что он говорил. Я могу сегодня быть брюнеткой, завтра блондинкой. Тебе-то какое дело?"," Да мало ли что он говорил. Я   могу сегодня быть бюринеткой за  фробландинкой.   Тебе, так,  Какое дело?",disgust,0.375
47,72,../dataset/RESD_csv/test/fear_enthusiasm_31/31_fear_enthusiasm_f_120.wav,"Ну какой контроль? Ну какой контроль, если я не знаю где-то? Я ведь даже могла найти, найти что-то.","  какой контроль,  Если я не  знаю где-то. Ну, я везажи   могла найти, найти и   что-то.",fear,0.8333333333333334
48,73,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_h_120.wav,"Мне теперь денег, наверное, достаточно.", Как у меня теперь денег  достаточно,happiness,1.0
49,74,../dataset/RESD_csv/test/disgust_happiness_36/36_disgust_happiness_h_050.wav,и я собираюсь на нём заниматься 3D графикой., Я собираюсь на нем  заниматься 3D  графики.,happiness,0.875
50,75,../dataset/RESD_csv/test/happiness_neutral_23/23_happiness_neutral_n_110.wav,"Спасибо, что ты меня так ценишь, однако мой рейтинг не настолько высок."," Спасибо, что ты мне так  ценишь однако, но иридент не   настолько  высок.",neutral,0.4166666666666667
51,76,../dataset/RESD_csv/test/enthusiasm_fear_40/40_enthusiasm_fear_e_060.wav,"А что мы сегодня сдаём? Бек, по-моему, да?", А что мы   Сегодня сдаем бег по  моему да.,enthusiasm,0.625
52,77,../dataset/RESD_csv/test/sadness_disgust_12/12_sadness_disgust_s_070.wav,"Почему не потянет? Я думаю, если вы постараетесь, то тогда он начнет понимать лучше предмет, и тогда вы можете поставить ему заслуженную тройку."," Почему не потянет? Я  думаю,  Если вы постараетесь, то  тогда он  начнет понимать,  лучше  предмет и тогда вы  можете поставить ему  заслужены утро и",sadness,0.21739130434782608
53,78,../dataset/RESD_csv/test/anger_fear_14/14_anger_fear_a_061.wav,"Послушайте, за минут 30 вы вряд ли соберете заказ, вряд ли это мне доставит до моего дома."," Послушайте за минут 30, бувряд ли соберёте    Вряд ли это мне достает до  моего  Дома!",anger,0.7647058823529411
54,79,../dataset/RESD_csv/test/sadness_disgust_33/33_sadness_disgust_s_100.wav,"Стало ещё краше, Маш.",,sadness,0.0
55,80,../dataset/RESD_csv/test/happiness_neutral_18/18_happiness_neutral_h_160.wav,"Да, пожалуй, так оно и есть. Разные фестивали, кружки... Я обязательно везде успею!"," Да.  Пожалуй, так оно  есть.  Простные  фестивали, крышки, я   обязательно  виси успею.",happiness,0.7692307692307693
56,81,../dataset/RESD_csv/test/fear_disgust_41/41_fear_disgust_d_100.wav,"Да, письменно. Ну, откуда я знаю, кто может помочь? Ну, посмотри хотя бы в бланки, которые нам сдавали. Там есть ответы, вопросы. Просто хотя бы посмотри немного, что вообще о чём."," Да, письма, ну, откуда я  знаю, кто  может помочь, но посмотрите,  хотя бы была анки, которая нам сдавали там,  которые нам сдавали. Там  есть ответы  Вопросы. Просто хотя бы посмотри немного, что  много, что вообще о чём?",disgust,0.7096774193548387
57,82,../dataset/RESD_csv/test/enthusiasm_sadness_50/50_enthusiasm_sadness_e_111.wav,"когда-нибудь ходила? Была. Скажи очень интересные. Вот ты у кого была? У нас тут одна Маша есть, знаешь, она ну прям вылитая, 17 век и одежда такие, знаешь, под цыганские. Не верю."," Когда-нибудь ходила, он был, кстати, на Цомболе,    Скажи очень  Интересные, вот ты у кого было. У нас тут    одна масса, она   прям вылетая,  17-й век. Я держит  одежды  Такие, в нас же по-тсагански.",enthusiasm,1.0
58,83,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_n_040.wav,"Потому что у нас большой гипермаркет, огромное количество людей за день проходит, нам нужен человек с опытом. Либо есть вариант, конечно, обучение, но оно бесплатное."," Потому что у нас  большой гипермаркет огромное   количество людей за один проходить нам  нужен человек с опытом.   Либо есть  вариант, конечно,  Обучение, но оно  бесплатное.",neutral,0.16
59,84,../dataset/RESD_csv/test/anger_disgust_25/25_anger_disgust_a_050.wav,Делиться? Делиться с преступниками не желаю.,   Делиться с преступниками не   Желаю!,anger,0.8333333333333334
60,86,../dataset/RESD_csv/test/anger_disgust_19/19_anger_disgust_d_120.wav,"Вам привезли фартук, который вы заказывали на сайте."," Вам привезли фарту,  который вы  заказывали на сайте.",disgust,0.125
61,87,../dataset/RESD_csv/test/fear_anger_22/22_fear_anger_a_070.wav,"Извини, ты начинаешь нервничать за рулем, поэтому притягиваешь всё. Естественно, если ты будешь нервничать за рулем, ты куда-нибудь въедешь. Если ты спокойно поедешь, всё будет хорошо."," Ну и свини, просто ты  начинаешь нервничать с сролем,  Нерничать с рульом,  Поэтому при тягиваешь все. И естественно,   Если ты будешь нервничать за  рулёв, ты куда-нибудь въедешь?  Если ты спокойно, поедешься, будь  хорошо.",anger,1.0
62,88,../dataset/RESD_csv/test/fear_happiness_30/30_fear_happiness_f_010.wav,"Добрый день, Алла Ивановна. Можно?"," Добрый день, Аллеванна.   можно.",fear,0.4
63,90,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_n_110.wav,"Это не наш магазин, у нас большая сеть, наш именно магазин, он работает с 8 до 8 вечера."," Это не наш магазин, но с  большая  сеть, наш именно магазин. Он   работает с 8 до 8   вечера.",neutral,0.2222222222222222
64,91,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_s_060.wav,Под процентный какой? Под какой ты процентный?, Попроценно и  Какая-то просят?,sadness,0.5714285714285714
65,92,../dataset/RESD_csv/test/enthusiasm_fear_40/40_enthusiasm_fear_f_010.wav,Nu-i să dea în fiescă oltură.,,fear,0.0
66,93,../dataset/RESD_csv/test/enthusiasm_fear_40/40_enthusiasm_fear_f_120.wav,Нужно иметь просто суперсильные руки., нужно иметь просто суперсильные   руке.,fear,0.4
67,96,../dataset/RESD_csv/test/fear_disgust_48/48_fear_disgust_f_080.wav,"Не знаю, испугалась очень сильно"," Не знаю, испугалась  очень  Сильно.",fear,0.2
68,97,../dataset/RESD_csv/test/fear_disgust_48/48_fear_disgust_d_010.wav,Какой еще фильм?,,disgust,0.0
69,99,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_s_110.wav,Спасибо тебе большое! Пошла я мыть свою девятку. Как и быть.," Спасибо  тебе большое,  Пошла ему  свою удивятку, так и быть.",sadness,0.6363636363636364
70,100,../dataset/RESD_csv/test/enthusiasm_happiness_26/26_enthusiasm_happiness_e_100.wav,"Ну, я не знаю. Ну, возможно, возможно, конечно же, это может быть и Египет. Хорошо."," Ну, я не знаю.   возможно,  Конечно же, это может быть египет хорошо.",enthusiasm,0.5333333333333333
71,104,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_f_140.wav,"Да не орёт, я не слышу, может быть..."," Да не орёт, я не  слышу.",fear,0.125
72,105,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger h_030.wav,"Не обращаем внимания на этих официантов, когда нам нужно будет, они подойдут."," Не проще внимания на  этих ифициентов,  Когда нам нужно будет, они  подойдут.",happiness,0.25
73,106,../dataset/RESD_csv/test/happiness_anger_21/21_happiness_anger_a_020.wav,Хорошо.,,anger,0.0
74,107,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm e_130.wav,"А вы не подскажете, как туда вставляются батарейки?"," А вы не поскажете, как  туда вставляют собатарейки.",enthusiasm,0.375
75,108,../dataset/RESD_csv/test/enthusiasm_neutral_37/37_enthusiasm_neutral_e_090.wav,"Подождите, подождите, что нужно сделать вначале, Анастасия? Вначале нужно завести двигатель."," Подождите, подождите. Что   нужно  Сделать    начале  нужно завести двигатель.",enthusiasm,0.6363636363636364
76,109,../dataset/RESD_csv/test/happiness_fear_29/29_happiness_fear_h_110.wav,Одинка или брюнетка?,,happiness,0.0
77,112,../dataset/RESD_csv/test/disgust_happiness_36/36_disgust_happiness_h_120.wav,"Так, хороший компьютер у меня?", Так хороший компьютер  мне.,happiness,0.4
78,113,../dataset/RESD_csv/test/sadness_disgust_46/46_sadness_disgust_d_043.wav,"Их надо воспитывать. Но говорят же, что только в случае, если можно положить поперек лавки, можно учить. То кого тогда нужно учить? Детей или взрослых?"," Их надо  спинтывать. Ну, говорю, а что   только с лучей   Если   можно  учить. Так а вот так нам   нужно учить  детей или   взрослым.",disgust,0.72
79,114,../dataset/RESD_csv/test/happiness_neutral_38/38_happiness_neutral_n_020.wav,"Ваша фамилия, имя и отчество.", Ваши вымили и мою  учиста.,neutral,1.0
80,115,../dataset/RESD_csv/test/enthusiasm_sadness_47/47_enthusiasm_sadness_s_030.wav,"А 70, наверное, это очень много. Только это Dune."," А 7-10 наверное, это  очень много, а сколько это дюйно?",sadness,0.5555555555555556
81,120,../dataset/RESD_csv/test/03_disgust_neutral/03_disgust_neutral n_010.wav,Добрый.,,neutral,0.0
82,121,../dataset/RESD_csv/test/happiness_neutral_38/38_happiness_neutral_n_010.wav,"Компания перевези, менеджер Екатерина. Здравствуйте. Вы оставляли у нас заявку на заказ. Да заполним ее и перепроверим ваши данные.", Компания  перевезим. Мы нажали Екатерина.    Здравствуйте! Я в  Куна заказ.  Дозаполним ее и   Перепроверим вашу данный.,neutral,0.7894736842105263
83,123,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_h_070.wav,"С чего ты взяла, что мой клиент тоже не торопится к семье? Может он рассчитывает на то, что он сейчас пойдёт купит себе что-то, а я за это время уже помою? Вот пока мы выясняем эти отношения, я могла бы быстренько помыть машину."," С чего-то взяла, что мы  клиент тоже не торопится к семья.  может он рассчитывая на то, что он   сейчас пойдет  купить себе что-то айцов это  время уже помы, вот пока мы выясняем эти отношения, я    могу выстренька  помыть  Машину.",happiness,0.8837209302325582
84,126,../dataset/RESD_csv/test/05_neutral_fear/05_neutral_fear f_061.wav,"Слушай, да я просто боюсь сейчас, пока мы дождёмся автобуса, я потом домой приеду, у меня ж улица ещё находится внизу за портовой аж, а там фонарей вообще нет."," Я просто боюсь сейчас   Пока мы и дождемся автобуса, я   потом приехал, я шули, я еще находился внизу. за портовой, а шо там   фонарей  вообще нет.",fear,0.896551724137931
85,127,../dataset/RESD_csv/test/sadness_disgust_33/33_sadness_disgust_d_010.wav,"Какая тебе Машенька, Орлов? Кто вообще тебя со мной посадил? Кто тебя со мной посадил?", Какая тема шенька о рлов? Кто   вообще тебя с ним посадил? Кто тебя со  тебе со мной  посадили.,disgust,0.9333333333333333
86,128,../dataset/RESD_csv/test/disgust_happiness_36/36_disgust_happiness_h_010.wav,"А вы программист, да?",,happiness,0.0
87,130,../dataset/RESD_csv/test/neutral_fear_27/27_neutral_fear_n_110.wav,"Почему? Вы будете приходить к нам, когда вот на праздники, на 8 марта, на день железнодорожника, на Новый год."," Почему вы  будете приходить к нам,  когда на  празднике на 8 марта, на день железнодор на  динжерезно  дорожника на  Новый   год!",neutral,0.7368421052631579
88,131,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_s_030.wav,Я заняла у подруги 100 тысяч и попросила у матери..., Я заняла у подруги 100 тысяч и у матери    попросила там.,sadness,0.3
89,132,../dataset/RESD_csv/test/sadness_disgust_12/12_sadness_disgust_d_090.wav,"Ну ладно, у меня есть окошко завтра в 4 часа. Приходите!"," Ладно, у  меня есть акошка   завтра 4  часа.  Приходите!",disgust,0.8181818181818182
90,133,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_f_070.wav,"Он пьет таблетки, подождите! Подождите какое-то время!"," Он пьёт облетки,  Подождите, подождите какое-то  время.",fear,0.7142857142857143
91,135,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_s_160.wav,"Я больше с тобой матчи смотреть не буду. Всё, спасибо!","  Смотрите не буду, все,  спасибо!",sadness,0.5
92,137,../dataset/RESD_csv/test/07_fear_neutral/07_fear_neutral n_150.wav,Спасибо большое. Диктуйте.,,neutral,0.0
93,138,../dataset/RESD_csv/test/07_fear_neutral/07_fear_neutral f_040.wav,"Не могу не переживать, сбил человека, не прав, извините, надеюсь с вами все будет хорошо"," Не могу не переживать. Сбил человеку. Не    прав,  извините,  Надеюсь, что они все будут  хорошо.",fear,0.6
94,139,../dataset/RESD_csv/test/disgust_happiness_36/36_disgust_happiness_d_080.wav,Да на нём только в тетрис можно играть," Да на нем только в те, что  можно играть.",disgust,0.5
95,140,../dataset/RESD_csv/test/anger_disgust_19/19_anger_disgust_a_040.wav,"Да, но это не тот фартук, который я заказывала."," Да, но это не тот  фарту, который я  заказывала.",anger,0.1111111111111111
96,141,../dataset/RESD_csv/test/disgust_enthusiasm_28/28_disgust_enthusiasm_e_040.wav,"А рычаг, он тяжело идёт?", Артюк он тяжело  идёт.,enthusiasm,0.8
97,142,../dataset/RESD_csv/test/disgust_enthusiasm_28/28_disgust_enthusiasm_d_040.wav,"Вот сам станок, вот кнопки включить, выключить, вот фреза, вот зажимы, которые закрепляют деталь. Закрепляем деталь."," Вот  Самстанок, кубки. Компки  Кновки  Включить,  выключить вот  вреза вот зажимой,  жимой, которые закрепляют   деталь   Закрепляем деталь!",disgust,0.8125
98,143,../dataset/RESD_csv/test/09_neutral_happiness/09_neutral_happiness n_020.wav,"Ну что, я готова вам предоставить объект, чтобы вы посмотрели."," Ну что, я  готова вам   предоставить объект,  чтобы посмотреть.",neutral,0.1
99,144,../dataset/RESD_csv/test/happiness_enthusiasm_32/32_happiness_enthusiasm_h_080.wav,"Я спрошу, я надеюсь, они за меня порадуются. Ведь ты первая, кому я сказала. Ой, мне очень приятно. Я выхожу на улицу, думаю, ну всё, вот эти пять тысяч,"," Я спрашиваю,  Надеюсь, они за меня порадут. Ведь ты первая,  кому я  сказал. Выходи на  улице  дома. Ну все, вот эти 5  тысяч держивают на билете   представляешь?",happiness,0.896551724137931
100,145,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger a_150.wav,"В центре однокомнатная, 40 квадратных метров. Всё! Это ваш потолок!"," Одна комнатная, 40   квадратных метров.  Все! Это ваш   шпоталок.",anger,0.9
101,146,../dataset/RESD_csv/test/neutral_fear_35/35_neutral_fear_n_050.wav,То есть вы это представляете или реально ощущаете?,,neutral,0.0
102,147,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm e_040.wav,"Так, я заказывала большой телевизор. Открываем. А тут какой-то маленький.", Я заказывала большую телевизор.    Открываем отутку  какой-то  маленький.,enthusiasm,0.8
103,148,../dataset/RESD_csv/test/happiness_enthusiasm_32/32_happiness_enthusiasm_e_030.wav,Ого! А много?," Ох, а  много!",enthusiasm,1.0
104,149,../dataset/RESD_csv/test/02_anger_sadness/02_anger_sadness a_031.wav,"Нет, два дня я тебе не дам, ты должен переделать сегодня. И я хочу от тебя услышать... Отчёт."," Нет, два дня я  тебе не  дам, ты должен переделать   Сегодня и я     хочу  тебе услышать, а что-то.",anger,0.3333333333333333
105,150,../dataset/RESD_csv/test/sadness_disgust_12/12_sadness_disgust_s_060.wav,"Ну, не знаю, есть же какие-то там дополнительные занятия, спецкурсы, подготовка."," Не знаю,  есть же какие-то  Дополнительные  Занятя, а спец-курсы   подготовка!",sadness,0.9090909090909091
106,151,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_s_050.wav,"Потому что у меня начальник платит маленькую зарплату, я не могу здесь ещё ведра покупать. Ну, честно говоря, мне дорого это, ещё ведро покупать. Есть же вот наше бесплатное ведро. Дай мне ведро."," Потому что у меня  начальник не  платик маленькую зарплату, я не  могу  Здесь еще ее тропокупать. Но   честно говоря, мне дорогоето. Еще в  дропок по-как по-каке   ведро.",sadness,0.6666666666666666
107,152,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger s_150.wav,"Нет, зачем вам добавлять? Давайте просто посмотрим квартиру, которая мне подойдёт."," Нет, зачем вам добавлять?  Давайте  посмотрим квартиру, которая мне    Подойдет.",sadness,0.45454545454545453
108,153,../dataset/RESD_csv/test/fear_anger_22/22_fear_anger_a_050.wav,запасное колесо но оно понадобится только если мы попадем в аварию," Ну а ну пематуби, а  только если мы попадем в  аварию.",anger,0.5454545454545454
