,number,model,file,label_pred,label_true,rez_from_model,t1
10,30,Aniemore/wav2vec2-emotion-russian-resd,neutral_anger_44/44_neutral_anger_n_170.wav,neutral,neutral,"[{'score': 0.17768488824367523, 'label': 'neutral'}, {'score': 0.17233824729919434, 'label': 'disgust'}, {'score': 0.149263396859169, 'label': 'fear'}, {'score': 0.13300327956676483, 'label': 'enthusiasm'}, {'score': 0.12838336825370789, 'label': 'happiness'}]",0.2455120086669922
11,33,Aniemore/wav2vec2-emotion-russian-resd,fear_enthusiasm_31/31_fear_enthusiasm_f_130.wav,anger,fear,"[{'score': 0.15893174707889557, 'label': 'anger'}, {'score': 0.15562137961387634, 'label': 'neutral'}, {'score': 0.14470939338207245, 'label': 'enthusiasm'}, {'score': 0.14280755817890167, 'label': 'disgust'}, {'score': 0.13994869589805603, 'label': 'fear'}]",0.2303752899169922
12,36,Aniemore/wav2vec2-emotion-russian-resd,fear_enthusiasm_31/31_fear_enthusiasm_e_110.wav,disgust,enthusiasm,"[{'score': 0.16817264258861542, 'label': 'disgust'}, {'score': 0.16066615283489227, 'label': 'enthusiasm'}, {'score': 0.1544893980026245, 'label': 'neutral'}, {'score': 0.15005818009376526, 'label': 'fear'}, {'score': 0.13120591640472412, 'label': 'happiness'}]",0.20049238204956055
13,39,Aniemore/wav2vec2-emotion-russian-resd,neutral_enthusiasm_13/13_neutral_enthusiasm_n_070.wav,neutral,neutral,"[{'score': 0.18989898264408112, 'label': 'neutral'}, {'score': 0.1704569160938263, 'label': 'disgust'}, {'score': 0.14715224504470825, 'label': 'fear'}, {'score': 0.13622619211673737, 'label': 'enthusiasm'}, {'score': 0.12266082316637039, 'label': 'sadness'}]",0.9537110328674316
14,42,Aniemore/wav2vec2-emotion-russian-resd,fear_enthusiasm_31/31_fear_enthusiasm_e_060.wav,happiness,enthusiasm,"[{'score': 0.16818217933177948, 'label': 'happiness'}, {'score': 0.16629916429519653, 'label': 'anger'}, {'score': 0.1454361528158188, 'label': 'fear'}, {'score': 0.14414836466312408, 'label': 'disgust'}, {'score': 0.133358895778656, 'label': 'enthusiasm'}]",0.7772808074951172
15,45,Aniemore/wav2vec2-emotion-russian-resd,neutral_fear_27/27_neutral_fear_f_090.wav,enthusiasm,fear,"[{'score': 0.1607525795698166, 'label': 'enthusiasm'}, {'score': 0.1541670560836792, 'label': 'neutral'}, {'score': 0.147163987159729, 'label': 'anger'}, {'score': 0.14274486899375916, 'label': 'disgust'}, {'score': 0.14024798572063446, 'label': 'fear'}]",0.8766682147979736
16,48,Aniemore/wav2vec2-emotion-russian-resd,10_happiness_anger/10_happiness_anger h_060.wav,disgust,happiness,"[{'score': 0.17154185473918915, 'label': 'disgust'}, {'score': 0.16533370316028595, 'label': 'neutral'}, {'score': 0.16421538591384888, 'label': 'enthusiasm'}, {'score': 0.14695198833942413, 'label': 'fear'}, {'score': 0.12514743208885193, 'label': 'happiness'}]",0.2580859661102295
17,51,Aniemore/wav2vec2-emotion-russian-resd,neutral_disgust_17/17_neutral_disgust_d_080.wav,happiness,disgust,"[{'score': 0.15641170740127563, 'label': 'happiness'}, {'score': 0.14868132770061493, 'label': 'anger'}, {'score': 0.14825688302516937, 'label': 'sadness'}, {'score': 0.14294062554836273, 'label': 'neutral'}, {'score': 0.14214132726192474, 'label': 'fear'}]",2.0357425212860107
18,54,Aniemore/wav2vec2-emotion-russian-resd,fear_anger_22/22_fear_anger_a_100.wav,anger,anger,"[{'score': 0.18377353250980377, 'label': 'anger'}, {'score': 0.14853285253047943, 'label': 'enthusiasm'}, {'score': 0.14274396002292633, 'label': 'disgust'}, {'score': 0.1416613757610321, 'label': 'neutral'}, {'score': 0.13526053726673126, 'label': 'sadness'}]",0.6053133010864258
19,57,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_neutral_37/37_enthusiasm_neutral_e_130.wav,neutral,enthusiasm,"[{'score': 0.19459564983844757, 'label': 'neutral'}, {'score': 0.166813462972641, 'label': 'disgust'}, {'score': 0.14070600271224976, 'label': 'fear'}, {'score': 0.13651970028877258, 'label': 'enthusiasm'}, {'score': 0.12482046335935593, 'label': 'sadness'}]",0.6660494804382324
20,60,Aniemore/wav2vec2-emotion-russian-resd,01_happiness_anger/01_happiness_anger h_100.wav,anger,happiness,"[{'score': 0.20098547637462616, 'label': 'anger'}, {'score': 0.14686018228530884, 'label': 'sadness'}, {'score': 0.13969466090202332, 'label': 'enthusiasm'}, {'score': 0.13318583369255066, 'label': 'happiness'}, {'score': 0.1286163479089737, 'label': 'neutral'}]",0.45297694206237793
21,63,Aniemore/wav2vec2-emotion-russian-resd,01_happiness_anger/01_happiness_anger h_010.wav,happiness,happiness,"[{'score': 0.18514810502529144, 'label': 'happiness'}, {'score': 0.18063533306121826, 'label': 'anger'}, {'score': 0.14230585098266602, 'label': 'fear'}, {'score': 0.13158535957336426, 'label': 'sadness'}, {'score': 0.1284201443195343, 'label': 'disgust'}]",0.8050618171691895
22,66,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_neutral_43/43_enthusiasm_neutral_e_050.wav,neutral,enthusiasm,"[{'score': 0.18556630611419678, 'label': 'neutral'}, {'score': 0.16692933440208435, 'label': 'disgust'}, {'score': 0.14799867570400238, 'label': 'fear'}, {'score': 0.13607819378376007, 'label': 'enthusiasm'}, {'score': 0.12760430574417114, 'label': 'sadness'}]",0.24447846412658691
23,69,Aniemore/wav2vec2-emotion-russian-resd,sadness_disgust_33/33_sadness_disgust_d_050.wav,sadness,disgust,"[{'score': 0.16821588575839996, 'label': 'sadness'}, {'score': 0.16780950129032135, 'label': 'anger'}, {'score': 0.15508639812469482, 'label': 'happiness'}, {'score': 0.13202644884586334, 'label': 'neutral'}, {'score': 0.12997429072856903, 'label': 'fear'}]",0.9395654201507568
24,72,Aniemore/wav2vec2-emotion-russian-resd,fear_enthusiasm_31/31_fear_enthusiasm_f_120.wav,enthusiasm,fear,"[{'score': 0.16245894134044647, 'label': 'enthusiasm'}, {'score': 0.1559724062681198, 'label': 'neutral'}, {'score': 0.14835135638713837, 'label': 'anger'}, {'score': 0.13701581954956055, 'label': 'fear'}, {'score': 0.13681411743164062, 'label': 'sadness'}]",1.0632641315460205
25,75,Aniemore/wav2vec2-emotion-russian-resd,happiness_neutral_23/23_happiness_neutral_n_110.wav,disgust,neutral,"[{'score': 0.181435689330101, 'label': 'disgust'}, {'score': 0.18119637668132782, 'label': 'neutral'}, {'score': 0.15344643592834473, 'label': 'fear'}, {'score': 0.14463628828525543, 'label': 'enthusiasm'}, {'score': 0.11936403810977936, 'label': 'happiness'}]",0.6215112209320068
26,78,Aniemore/wav2vec2-emotion-russian-resd,anger_fear_14/14_anger_fear_a_061.wav,anger,anger,"[{'score': 0.1900588721036911, 'label': 'anger'}, {'score': 0.14281271398067474, 'label': 'enthusiasm'}, {'score': 0.1406342089176178, 'label': 'neutral'}, {'score': 0.13670392334461212, 'label': 'sadness'}, {'score': 0.1362188309431076, 'label': 'disgust'}]",0.9986343383789062
27,81,Aniemore/wav2vec2-emotion-russian-resd,fear_disgust_41/41_fear_disgust_d_100.wav,sadness,disgust,"[{'score': 0.1752738356590271, 'label': 'sadness'}, {'score': 0.16571977734565735, 'label': 'anger'}, {'score': 0.16084885597229004, 'label': 'happiness'}, {'score': 0.13177934288978577, 'label': 'fear'}, {'score': 0.12450935691595078, 'label': 'neutral'}]",1.7059814929962158
28,84,Aniemore/wav2vec2-emotion-russian-resd,anger_disgust_25/25_anger_disgust_a_050.wav,happiness,anger,"[{'score': 0.1715838462114334, 'label': 'happiness'}, {'score': 0.16883525252342224, 'label': 'anger'}, {'score': 0.13936012983322144, 'label': 'fear'}, {'score': 0.13757285475730896, 'label': 'disgust'}, {'score': 0.13731437921524048, 'label': 'enthusiasm'}]",0.7212259769439697
29,87,Aniemore/wav2vec2-emotion-russian-resd,fear_anger_22/22_fear_anger_a_070.wav,anger,anger,"[{'score': 0.18861123919487, 'label': 'anger'}, {'score': 0.14607223868370056, 'label': 'enthusiasm'}, {'score': 0.13862645626068115, 'label': 'disgust'}, {'score': 0.13716360926628113, 'label': 'neutral'}, {'score': 0.1358419507741928, 'label': 'sadness'}]",1.4393153190612793
30,90,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_neutral_43/43_enthusiasm_neutral_n_110.wav,neutral,neutral,"[{'score': 0.18871621787548065, 'label': 'neutral'}, {'score': 0.16807971894741058, 'label': 'disgust'}, {'score': 0.15264752507209778, 'label': 'fear'}, {'score': 0.12915897369384766, 'label': 'enthusiasm'}, {'score': 0.12552978098392487, 'label': 'sadness'}]",1.1613376140594482
31,93,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_fear_40/40_enthusiasm_fear_f_120.wav,enthusiasm,fear,"[{'score': 0.15436866879463196, 'label': 'enthusiasm'}, {'score': 0.15209394693374634, 'label': 'neutral'}, {'score': 0.1508215218782425, 'label': 'anger'}, {'score': 0.14124812185764313, 'label': 'fear'}, {'score': 0.1400410383939743, 'label': 'disgust'}]",0.4124879837036133
32,96,Aniemore/wav2vec2-emotion-russian-resd,fear_disgust_48/48_fear_disgust_f_080.wav,enthusiasm,fear,"[{'score': 0.157713383436203, 'label': 'enthusiasm'}, {'score': 0.15406641364097595, 'label': 'neutral'}, {'score': 0.1472385972738266, 'label': 'disgust'}, {'score': 0.14537496864795685, 'label': 'fear'}, {'score': 0.1379595845937729, 'label': 'anger'}]",0.3520641326904297
33,99,Aniemore/wav2vec2-emotion-russian-resd,sadness_happiness_49/49_sadness_happiness_s_110.wav,fear,sadness,"[{'score': 0.16335321962833405, 'label': 'fear'}, {'score': 0.16149576008319855, 'label': 'disgust'}, {'score': 0.14433452486991882, 'label': 'happiness'}, {'score': 0.14044146239757538, 'label': 'neutral'}, {'score': 0.13929595053195953, 'label': 'sadness'}]",0.6829867362976074
34,102,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_happiness_26/26_enthusiasm_happiness_h_120.wav,anger,happiness,"[{'score': 0.17629198729991913, 'label': 'anger'}, {'score': 0.16455267369747162, 'label': 'happiness'}, {'score': 0.14620110392570496, 'label': 'fear'}, {'score': 0.1332983374595642, 'label': 'enthusiasm'}, {'score': 0.13128499686717987, 'label': 'disgust'}]",1.3341069221496582
35,105,Aniemore/wav2vec2-emotion-russian-resd,01_happiness_anger/01_happiness_anger h_030.wav,happiness,happiness,"[{'score': 0.16034719347953796, 'label': 'happiness'}, {'score': 0.1536748856306076, 'label': 'anger'}, {'score': 0.14810127019882202, 'label': 'fear'}, {'score': 0.14486104249954224, 'label': 'disgust'}, {'score': 0.14237485826015472, 'label': 'enthusiasm'}]",0.5502200126647949
36,108,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_neutral_37/37_enthusiasm_neutral_e_090.wav,disgust,enthusiasm,"[{'score': 0.1638229787349701, 'label': 'disgust'}, {'score': 0.15823312103748322, 'label': 'enthusiasm'}, {'score': 0.15317825973033905, 'label': 'neutral'}, {'score': 0.14558832347393036, 'label': 'fear'}, {'score': 0.14178836345672607, 'label': 'happiness'}]",1.2530860900878906
37,111,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_sadness_15/15_enthusiasm_sadness_e_032.wav,neutral,enthusiasm,"[{'score': 0.1795470267534256, 'label': 'neutral'}, {'score': 0.17461133003234863, 'label': 'disgust'}, {'score': 0.15647979080677032, 'label': 'enthusiasm'}, {'score': 0.14686694741249084, 'label': 'fear'}, {'score': 0.12438011914491653, 'label': 'happiness'}]",1.718919038772583
38,114,Aniemore/wav2vec2-emotion-russian-resd,happiness_neutral_38/38_happiness_neutral_n_020.wav,anger,neutral,"[{'score': 0.16132768988609314, 'label': 'anger'}, {'score': 0.15155236423015594, 'label': 'neutral'}, {'score': 0.14501936733722687, 'label': 'happiness'}, {'score': 0.14301425218582153, 'label': 'enthusiasm'}, {'score': 0.14275573194026947, 'label': 'fear'}]",0.32765793800354004
39,117,Aniemore/wav2vec2-emotion-russian-resd,happiness_neutral_23/23_happiness_neutral_h_150.wav,anger,happiness,"[{'score': 0.20592041313648224, 'label': 'anger'}, {'score': 0.14393939077854156, 'label': 'happiness'}, {'score': 0.1387510597705841, 'label': 'sadness'}, {'score': 0.13273325562477112, 'label': 'fear'}, {'score': 0.12766820192337036, 'label': 'enthusiasm'}]",0.9960799217224121
40,120,Aniemore/wav2vec2-emotion-russian-resd,03_disgust_neutral/03_disgust_neutral n_010.wav,anger,neutral,"[{'score': 0.17766444385051727, 'label': 'anger'}, {'score': 0.17002969980239868, 'label': 'happiness'}, {'score': 0.14698028564453125, 'label': 'fear'}, {'score': 0.13039565086364746, 'label': 'sadness'}, {'score': 0.1289830356836319, 'label': 'enthusiasm'}]",0.1782069206237793
41,123,Aniemore/wav2vec2-emotion-russian-resd,sadness_happiness_49/49_sadness_happiness_h_070.wav,fear,happiness,"[{'score': 0.1682083010673523, 'label': 'fear'}, {'score': 0.16670626401901245, 'label': 'disgust'}, {'score': 0.15158365666866302, 'label': 'happiness'}, {'score': 0.1379186511039734, 'label': 'enthusiasm'}, {'score': 0.13184016942977905, 'label': 'anger'}]",1.7691566944122314
42,126,Aniemore/wav2vec2-emotion-russian-resd,05_neutral_fear/05_neutral_fear f_061.wav,enthusiasm,fear,"[{'score': 0.15548788011074066, 'label': 'enthusiasm'}, {'score': 0.15327374637126923, 'label': 'neutral'}, {'score': 0.15126633644104004, 'label': 'anger'}, {'score': 0.1404845416545868, 'label': 'fear'}, {'score': 0.14002583920955658, 'label': 'disgust'}]",1.5855047702789307
43,129,Aniemore/wav2vec2-emotion-russian-resd,happiness_neutral_38/38_happiness_neutral_h_040.wav,disgust,happiness,"[{'score': 0.16128361225128174, 'label': 'disgust'}, {'score': 0.15624383091926575, 'label': 'fear'}, {'score': 0.15208260715007782, 'label': 'happiness'}, {'score': 0.15074177086353302, 'label': 'enthusiasm'}, {'score': 0.13571079075336456, 'label': 'anger'}]",1.099910020828247
44,132,Aniemore/wav2vec2-emotion-russian-resd,sadness_disgust_12/12_sadness_disgust_d_090.wav,happiness,disgust,"[{'score': 0.15300442278385162, 'label': 'happiness'}, {'score': 0.14921703934669495, 'label': 'disgust'}, {'score': 0.14914819598197937, 'label': 'fear'}, {'score': 0.1470271795988083, 'label': 'neutral'}, {'score': 0.14323104918003082, 'label': 'enthusiasm'}]",1.0043962001800537
45,135,Aniemore/wav2vec2-emotion-russian-resd,happiness_sadness_45/45_happiness_sadness_s_160.wav,fear,sadness,"[{'score': 0.15993881225585938, 'label': 'fear'}, {'score': 0.15826910734176636, 'label': 'happiness'}, {'score': 0.15501010417938232, 'label': 'disgust'}, {'score': 0.14275258779525757, 'label': 'sadness'}, {'score': 0.13084964454174042, 'label': 'enthusiasm'}]",0.40691661834716797
46,138,Aniemore/wav2vec2-emotion-russian-resd,07_fear_neutral/07_fear_neutral f_040.wav,enthusiasm,fear,"[{'score': 0.16854538023471832, 'label': 'enthusiasm'}, {'score': 0.15296074748039246, 'label': 'neutral'}, {'score': 0.148694708943367, 'label': 'anger'}, {'score': 0.1393248587846756, 'label': 'sadness'}, {'score': 0.1366633027791977, 'label': 'fear'}]",0.967754602432251
47,141,Aniemore/wav2vec2-emotion-russian-resd,disgust_enthusiasm_28/28_disgust_enthusiasm_e_040.wav,enthusiasm,enthusiasm,"[{'score': 0.16915224492549896, 'label': 'enthusiasm'}, {'score': 0.1619674265384674, 'label': 'disgust'}, {'score': 0.15139780938625336, 'label': 'neutral'}, {'score': 0.14237311482429504, 'label': 'fear'}, {'score': 0.13681574165821075, 'label': 'happiness'}]",0.3025350570678711
48,144,Aniemore/wav2vec2-emotion-russian-resd,happiness_enthusiasm_32/32_happiness_enthusiasm_h_080.wav,anger,happiness,"[{'score': 0.17809094488620758, 'label': 'anger'}, {'score': 0.17450518906116486, 'label': 'happiness'}, {'score': 0.1406567096710205, 'label': 'fear'}, {'score': 0.13264966011047363, 'label': 'sadness'}, {'score': 0.12910979986190796, 'label': 'enthusiasm'}]",1.8403761386871338
49,147,Aniemore/wav2vec2-emotion-russian-resd,04_fear_enthusiasm/04_fear_enthusiasm e_040.wav,disgust,enthusiasm,"[{'score': 0.16986587643623352, 'label': 'disgust'}, {'score': 0.16311301290988922, 'label': 'enthusiasm'}, {'score': 0.15973074734210968, 'label': 'neutral'}, {'score': 0.14828753471374512, 'label': 'fear'}, {'score': 0.13370046019554138, 'label': 'happiness'}]",0.8206098079681396
50,150,Aniemore/wav2vec2-emotion-russian-resd,sadness_disgust_12/12_sadness_disgust_s_060.wav,fear,sadness,"[{'score': 0.1668989658355713, 'label': 'fear'}, {'score': 0.15929876267910004, 'label': 'happiness'}, {'score': 0.15849696099758148, 'label': 'anger'}, {'score': 0.14211837947368622, 'label': 'disgust'}, {'score': 0.1317700892686844, 'label': 'sadness'}]",0.929335355758667
51,153,Aniemore/wav2vec2-emotion-russian-resd,fear_anger_22/22_fear_anger_a_050.wav,anger,anger,"[{'score': 0.19285276532173157, 'label': 'anger'}, {'score': 0.14058734476566315, 'label': 'enthusiasm'}, {'score': 0.13862301409244537, 'label': 'disgust'}, {'score': 0.13831709325313568, 'label': 'sadness'}, {'score': 0.13375231623649597, 'label': 'neutral'}]",0.6130697727203369
52,156,Aniemore/wav2vec2-emotion-russian-resd,disgust_enthusiasm_28/28_disgust_enthusiasm_e_100.wav,disgust,enthusiasm,"[{'score': 0.17048919200897217, 'label': 'disgust'}, {'score': 0.162026509642601, 'label': 'enthusiasm'}, {'score': 0.1570194959640503, 'label': 'neutral'}, {'score': 0.14453551173210144, 'label': 'fear'}, {'score': 0.13189288973808289, 'label': 'happiness'}]",0.934337854385376
53,159,Aniemore/wav2vec2-emotion-russian-resd,neutral_fear_27/27_neutral_fear_f_120.wav,enthusiasm,fear,"[{'score': 0.1629197895526886, 'label': 'enthusiasm'}, {'score': 0.15360240638256073, 'label': 'neutral'}, {'score': 0.1463446468114853, 'label': 'disgust'}, {'score': 0.14228378236293793, 'label': 'anger'}, {'score': 0.14021210372447968, 'label': 'fear'}]",1.3557939529418945
54,162,Aniemore/wav2vec2-emotion-russian-resd,04_fear_enthusiasm/04_fear_enthusiasm f_110.wav,enthusiasm,fear,"[{'score': 0.15793190896511078, 'label': 'enthusiasm'}, {'score': 0.1544012874364853, 'label': 'anger'}, {'score': 0.14919573068618774, 'label': 'neutral'}, {'score': 0.13713407516479492, 'label': 'disgust'}, {'score': 0.1365344077348709, 'label': 'fear'}]",0.9072525501251221
55,165,Aniemore/wav2vec2-emotion-russian-resd,01_happiness_anger/01_happiness_anger a_090.wav,anger,anger,"[{'score': 0.1905287653207779, 'label': 'anger'}, {'score': 0.14441260695457458, 'label': 'enthusiasm'}, {'score': 0.14212584495544434, 'label': 'sadness'}, {'score': 0.13567399978637695, 'label': 'neutral'}, {'score': 0.13528110086917877, 'label': 'disgust'}]",0.6067714691162109
56,168,Aniemore/wav2vec2-emotion-russian-resd,sadness_anger_39/39_sadness_anger_s_090.wav,disgust,sadness,"[{'score': 0.1696794629096985, 'label': 'disgust'}, {'score': 0.16264936327934265, 'label': 'fear'}, {'score': 0.1533896028995514, 'label': 'happiness'}, {'score': 0.1374797224998474, 'label': 'sadness'}, {'score': 0.13224774599075317, 'label': 'neutral'}]",2.92455792427063
57,171,Aniemore/wav2vec2-emotion-russian-resd,fear_anger_22/22_fear_anger_f_100.wav,sadness,fear,"[{'score': 0.16014333069324493, 'label': 'sadness'}, {'score': 0.15360334515571594, 'label': 'anger'}, {'score': 0.14505045115947723, 'label': 'happiness'}, {'score': 0.14290690422058105, 'label': 'enthusiasm'}, {'score': 0.14167776703834534, 'label': 'fear'}]",0.9205732345581055
58,174,Aniemore/wav2vec2-emotion-russian-resd,07_fear_neutral/07_fear_neutral n_060.wav,neutral,neutral,"[{'score': 0.18191875517368317, 'label': 'neutral'}, {'score': 0.174226313829422, 'label': 'disgust'}, {'score': 0.1515551507472992, 'label': 'fear'}, {'score': 0.1368836760520935, 'label': 'enthusiasm'}, {'score': 0.12141697853803635, 'label': 'sadness'}]",0.20313334465026855
59,177,Aniemore/wav2vec2-emotion-russian-resd,neutral_anger_44/44_neutral_anger_a_160.wav,anger,anger,"[{'score': 0.194123774766922, 'label': 'anger'}, {'score': 0.1433056890964508, 'label': 'sadness'}, {'score': 0.14131367206573486, 'label': 'enthusiasm'}, {'score': 0.13597472012043, 'label': 'disgust'}, {'score': 0.13455814123153687, 'label': 'neutral'}]",1.0487449169158936
60,180,Aniemore/wav2vec2-emotion-russian-resd,sadness_disgust_46/46_sadness_disgust_d_063.wav,enthusiasm,disgust,"[{'score': 0.1630920022726059, 'label': 'enthusiasm'}, {'score': 0.15730291604995728, 'label': 'neutral'}, {'score': 0.1529809683561325, 'label': 'anger'}, {'score': 0.13743948936462402, 'label': 'fear'}, {'score': 0.13634240627288818, 'label': 'sadness'}]",0.7443878650665283
61,183,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_happiness_26/26_enthusiasm_happiness_e_030.wav,happiness,enthusiasm,"[{'score': 0.179888054728508, 'label': 'happiness'}, {'score': 0.16341058909893036, 'label': 'anger'}, {'score': 0.1483181118965149, 'label': 'sadness'}, {'score': 0.13827525079250336, 'label': 'fear'}, {'score': 0.1255413144826889, 'label': 'enthusiasm'}]",0.39998555183410645
62,186,Aniemore/wav2vec2-emotion-russian-resd,enthusiasm_fear_40/40_enthusiasm_fear_e_050.wav,disgust,enthusiasm,"[{'score': 0.17119020223617554, 'label': 'disgust'}, {'score': 0.15921829640865326, 'label': 'fear'}, {'score': 0.1526155322790146, 'label': 'enthusiasm'}, {'score': 0.1509270966053009, 'label': 'happiness'}, {'score': 0.1366310566663742, 'label': 'neutral'}]",0.3223140239715576
63,189,Aniemore/wav2vec2-emotion-russian-resd,fear_disgust_41/41_fear_disgust_d_070.wav,happiness,disgust,"[{'score': 0.17308691143989563, 'label': 'happiness'}, {'score': 0.16117873787879944, 'label': 'sadness'}, {'score': 0.151292085647583, 'label': 'fear'}, {'score': 0.14039117097854614, 'label': 'anger'}, {'score': 0.1318216472864151, 'label': 'disgust'}]",1.390866756439209
64,192,Aniemore/wav2vec2-emotion-russian-resd,fear_happiness_30/30_fear_happiness_f_110.wav,sadness,fear,"[{'score': 0.17510154843330383, 'label': 'sadness'}, {'score': 0.1603498011827469, 'label': 'happiness'}, {'score': 0.1504332274198532, 'label': 'fear'}, {'score': 0.14416064321994781, 'label': 'anger'}, {'score': 0.1332484930753708, 'label': 'neutral'}]",0.4998021125793457
65,195,Aniemore/wav2vec2-emotion-russian-resd,02_anger_sadness/02_anger_sadness a_042.wav,anger,anger,"[{'score': 0.18678943812847137, 'label': 'anger'}, {'score': 0.14459937810897827, 'label': 'neutral'}, {'score': 0.1433703601360321, 'label': 'enthusiasm'}, {'score': 0.13677175343036652, 'label': 'fear'}, {'score': 0.13573335111141205, 'label': 'disgust'}]",1.121824026107788
66,198,Aniemore/wav2vec2-emotion-russian-resd,09_neutral_happiness/09_neutral_happiness n_052.wav,neutral,neutral,"[{'score': 0.19279983639717102, 'label': 'neutral'}, {'score': 0.1645166426897049, 'label': 'disgust'}, {'score': 0.14835377037525177, 'label': 'fear'}, {'score': 0.13355068862438202, 'label': 'enthusiasm'}, {'score': 0.12488251179456711, 'label': 'sadness'}]",1.5521390438079834
67,201,Aniemore/wav2vec2-emotion-russian-resd,fear_anger_22/22_fear_anger_a_150.wav,anger,anger,"[{'score': 0.19099627435207367, 'label': 'anger'}, {'score': 0.14799313247203827, 'label': 'enthusiasm'}, {'score': 0.1382238119840622, 'label': 'neutral'}, {'score': 0.13761667907238007, 'label': 'sadness'}, {'score': 0.13651065528392792, 'label': 'disgust'}]",0.43649864196777344
